"";"country";"year";"party";"party_name_short";"party_eng";"vote_share";"seats";"rightwing";"radicalright";"leftwing";"valence"
"220";"Slovenia";2009;"Slovenska Nacionalna Stranka";"SNS";"Slovenian National Party";2,9;0;1;1;0;0
"221";"Slovenia";2014;"Slovenska Nacionalna Stranka";"SNS";"Slovenian National Party";4;0;1;1;0;0
"222";"Slovenia";2019;"Slovenska Nacionalna Stranka";"SNS";"Slovenian National Party";4;0;1;1;0;0
"223";"Slovenia";2014;"Združena Levica / Levica";"ZL/Levica";"United Left / The Left";5,5;0;0;0;1;0
"224";"Slovenia";2019;"Združena Levica / Levica";"ZL/Levica";"United Left / The Left";6,4;0;0;0;1;0
"225";"Spain";2014;"Podemos";"Podemos";"We Can";8;5;0;0;1;0
"226";"Spain";2019;"Podemos + Izquierda Unida (Unidos Podemos)";"Podemos + IU (UP)";"United We Can";10,1;6;0;0;1;0
"227";"Spain";2014;"Vox";"Vox";"Vox";1,6;0;1;1;0;0
"228";"Spain";2019;"Vox";"Vox";"Vox";6,2;3;1;1;0;0
"229";"Sweden";1999;"Sverigedemokraterna";"SD";"Sweden Democrats";0,3;0;1;1;0;0
"230";"Sweden";2004;"Sverigedemokraterna";"SD";"Sweden Democrats";1,1;0;1;1;0;0
"231";"Sweden";2009;"Sverigedemokraterna";"SD";"Sweden Democrats";3,3;0;1;1;0;0
"232";"Sweden";2014;"Sverigedemokraterna";"SD";"Sweden Democrats";9,7;2;1;1;0;0
"233";"Sweden";2019;"Sverigedemokraterna";"SD";"Sweden Democrats";15,3;3;1;1;0;0
